Dates,AreaName,RoadIntersectionName,TrafficVolume,AverageSpeed,TravelTimeIndex,CongestionLevel,RoadCapacityUtilization,IncidentReports,EnvironmentalImpact,PublicTransportUsage,TrafficSignalCompliance,ParkingUsage,PedestrianCyclistCount,WeatherConditions,RoadworkConstructionActivity,DayOfWeek,CongestionCategory,PeakHour,CongestionScore,AccidentRisk,WeatherGroup,UtilizationStatus
2022-01-02,M.G. Road,Trinity Circle,53217,37.57,1.5,100,100,5,156.43,33.66,75.02,54.7,102,Clear,No,Sunday,High,0,1416.4759116316209,505,Clear,Over Utilized
2022-01-02,M.G. Road,Anil Kumble Circle,37584,45.89,1.5,100,100,2,125.17,15.97,62.07,76.57,101,Fog,No,Sunday,High,0,819.001961211593,202,Foggy,Over Utilized
2022-01-02,Jayanagar,Jayanagar 4th Block,16676,53.52,1.18,47.16,78.63,2,83.35,38.63,66.93,57.82,92,Fog,No,Sunday,High,0,311.5844544095665,96.32,Foggy,Over Utilized
2022-01-02,Jayanagar,South End Circle,37509,51.51,1.5,100,100,1,125.02,63.05,60.58,55.8,76,Overcast,No,Sunday,High,0,728.1887012230635,101,Other,Over Utilized
2022-01-02,Hebbal,Hebbal Flyover,6758,34.76,1.07,21.2,32.78,1,63.52,13.17,74.98,81.29,200,Rain,No,Sunday,High,0,194.41887226697355,22.2,Rainy,Over Utilized
2022-01-02,Hebbal,Ballari Road,30209,31.15,1.5,100,100,2,110.42,48.19,97.66,69.31,90,Clear,Yes,Sunday,High,0,969.7913322632425,202,Clear,Over Utilized
2022-01-02,Yeshwanthpur,Yeshwanthpur Circle,20375,40.07,1.34,58.38,100,0,90.75,18.27,87.87,81.45,113,Overcast,No,Sunday,High,0,508.4851509857749,0,Other,Over Utilized
2022-01-02,Yeshwanthpur,Tumkur Road,15636,32.79,1.31,48.94,82.49,1,81.27,62.56,90.18,55.16,115,Overcast,No,Sunday,High,0,476.8526989935956,49.94,Other,Over Utilized
2022-01-03,Indiranagar,100 Feet Road,23457,38.87,1.38,87.2,100,2,96.91,33.01,86.9,87.62,109,Clear,No,Monday,High,0,603.4731155132494,176.4,Clear,Over Utilized
2022-01-03,Indiranagar,CMH Road,38925,33.53,1.5,100,100,1,127.85,53.28,64.04,54.21,106,Overcast,No,Monday,High,0,1160.900685952878,101,Other,Over Utilized
2022-01-03,Whitefield,Marathahalli Bridge,9154,40.23,1.38,40.23,48.3,0,68.31,15.85,91.09,77.92,197,Clear,No,Monday,High,0,227.54163559532688,0,Clear,Over Utilized
2022-01-03,Whitefield,ITPL Main Road,24968,36.73,1.3,84.89,100,1,99.94,70.8,68.94,98.16,82,Windy,No,Monday,High,0,679.7713041110809,85.89,Other,Over Utilized
2022-01-03,Koramangala,Sony World Junction,51459,27.33,1.5,100,100,0,152.92,29.67,98.02,94.51,99,Clear,No,Monday,High,0,1882.8759604829859,0,Clear,Over Utilized
2022-01-03,Koramangala,Sarjapur Road,28481,36.5,1.5,100,100,2,106.96,66.97,87.39,58.13,116,Overcast,No,Monday,High,0,780.3013698630137,202,Other,Over Utilized
2022-01-03,Jayanagar,Jayanagar 4th Block,10179,40.31,1.39,26.94,51.84,0,70.36,77.89,93.68,91.92,199,Clear,Yes,Monday,High,0,252.51798561151077,0,Clear,Over Utilized
2022-01-04,Indiranagar,100 Feet Road,46199,41.23,1.5,100,100,2,142.4,57.02,84.73,67.91,86,Clear,No,Tuesday,High,0,1120.5190395343197,202,Clear,Over Utilized
2022-01-04,Indiranagar,CMH Road,56242,52.55,1.5,100,100,0,162.48,12.01,90.21,81.02,106,Clear,Yes,Tuesday,High,0,1070.256898192198,0,Clear,Over Utilized
2022-01-04,Whitefield,Marathahalli Bridge,20450,24.61,1.36,65.13,100,1,90.9,53.55,94.49,97.48,100,Clear,No,Tuesday,High,0,830.9630231613165,66.13,Clear,Over Utilized
2022-01-04,Whitefield,ITPL Main Road,13391,51.7,1.03,37.21,63.24,0,76.78,19.72,85.63,59.09,194,Clear,No,Tuesday,High,0,259.0135396518375,0,Clear,Over Utilized
2022-01-04,Koramangala,Sony World Junction,28369,29.41,1.5,86.34,100,1,106.74,35.5,80.14,84.52,104,Overcast,No,Tuesday,High,0,964.603876232574,87.34,Other,Over Utilized
2022-01-04,Koramangala,Sarjapur Road,31228,42.58,1.5,97.78,100,2,112.46,35.82,78.5,87.37,73,Fog,No,Tuesday,High,0,733.3959605448567,197.56,Foggy,Over Utilized
2022-01-04,M.G. Road,Trinity Circle,34180,37.03,1.5,100,100,0,118.36,32.55,68.46,66.37,103,Fog,No,Tuesday,High,0,923.0353767215771,0,Foggy,Over Utilized
2022-01-04,M.G. Road,Anil Kumble Circle,43569,40.39,1.5,100,100,1,137.14,55.21,82.83,67.8,92,Clear,No,Tuesday,High,0,1078.7076008913098,101,Clear,Over Utilized
2022-01-04,Jayanagar,Jayanagar 4th Block,16342,39.55,1.36,46.08,81.96,0,82.68,78.77,64.48,69.89,110,Clear,No,Tuesday,High,0,413.1984829329962,0,Clear,Over Utilized
2022-01-04,Yeshwanthpur,Yeshwanthpur Circle,19306,34.98,1.17,64.51,93.95,0,88.61,52.74,71.55,79.06,88,Clear,Yes,Tuesday,High,0,551.915380217267,0,Clear,Over Utilized
2022-01-04,Yeshwanthpur,Tumkur Road,16012,39.23,1.1,57,82.66,0,82.02,43.01,76.47,67.44,118,Windy,No,Tuesday,High,0,408.15702268671936,0,Other,Over Utilized
2022-01-05,Indiranagar,100 Feet Road,49952,50.8,1.5,100,100,2,149.9,21.5,92.58,83.26,101,Overcast,No,Wednesday,High,0,983.3070866141733,202,Other,Over Utilized
2022-01-05,Indiranagar,CMH Road,33970,20,1.5,100,100,1,117.94,72.97,75.36,77.18,116,Clear,No,Wednesday,High,0,1698.5,101,Clear,Over Utilized
2022-01-05,Whitefield,ITPL Main Road,17018,57.47,1.21,64.6,87.98,0,84.04,31.82,69.94,87.2,108,Clear,No,Wednesday,High,0,296.11971463372197,0,Clear,Over Utilized
2022-01-05,Koramangala,Sony World Junction,58920,25.21,1.5,100,100,2,167.84,54.88,87.76,77.14,92,Clear,No,Wednesday,High,0,2337.167790559302,202,Clear,Over Utilized
2022-01-05,Koramangala,Sarjapur Road,46963,34.44,1.5,100,100,2,143.93,71.05,97.28,78.26,106,Clear,No,Wednesday,High,0,1363.617886178862,202,Clear,Over Utilized
2022-01-05,Jayanagar,Jayanagar 4th Block,18111,55.94,1.24,58.35,86.1,0,86.22,66.2,60.19,66.67,97,Overcast,No,Wednesday,High,0,323.7575974258134,0,Other,Over Utilized
2022-01-05,Jayanagar,South End Circle,22491,42.39,1.18,67.79,100,0,94.98,39.32,96.59,68.12,102,Clear,No,Wednesday,High,0,530.5732484076433,0,Clear,Over Utilized
2022-01-05,Hebbal,Hebbal Flyover,38924,23.93,1.5,100,100,2,127.85,62.5,68.4,94.9,90,Clear,No,Wednesday,High,0,1626.5775177601338,202,Clear,Over Utilized
2022-01-05,Yeshwanthpur,Yeshwanthpur Circle,25165,20,1.5,82.7,100,1,100.33,22.73,94.47,97.31,96,Rain,No,Wednesday,High,0,1258.25,83.7,Rainy,Over Utilized
2022-01-05,Yeshwanthpur,Tumkur Road,15871,57.72,1.01,47.34,76.67,1,81.74,17.29,92,58.93,104,Clear,No,Wednesday,High,0,274.96534996534996,48.34,Clear,Over Utilized
2022-01-06,Indiranagar,100 Feet Road,46556,46.59,1.5,100,100,2,143.11,15.99,68.32,51.33,89,Clear,No,Thursday,High,0,999.2702296630177,202,Clear,Over Utilized
2022-01-06,Indiranagar,CMH Road,22591,30.92,1.24,70.66,100,2,95.18,30.61,97.94,88.18,100,Fog,No,Thursday,High,0,730.627425614489,143.32,Foggy,Over Utilized
2022-01-06,Whitefield,Marathahalli Bridge,20310,51.72,1.1,60.49,100,1,90.62,22.02,70.89,50.92,117,Clear,No,Thursday,High,0,392.6914153132251,61.49,Clear,Over Utilized
2022-01-06,Koramangala,Sony World Junction,61024,44.83,1.5,100,100,2,172.05,36.82,80.76,52.35,89,Clear,No,Thursday,High,0,1361.2313183136293,202,Clear,Over Utilized
2022-01-06,Koramangala,Sarjapur Road,28153,21.48,1.5,98.22,100,4,106.31,25.05,61.25,63.11,103,Clear,No,Thursday,High,0,1310.661080074488,396.88,Clear,Over Utilized
2022-01-06,M.G. Road,Trinity Circle,12965,62.71,1.28,41.91,62.29,2,75.93,29.05,83.61,68.05,198,Clear,No,Thursday,High,0,206.7453356721416,85.82,Clear,Over Utilized
2022-01-06,M.G. Road,Anil Kumble Circle,57145,45.62,1.5,100,100,1,164.29,79.14,97.76,51.97,89,Overcast,Yes,Thursday,High,0,1252.6304252520824,101,Other,Over Utilized
2022-01-06,Jayanagar,South End Circle,40516,34.2,1.5,100,100,1,131.03,51.74,69.2,56.03,82,Clear,No,Thursday,High,0,1184.6783625730993,101,Clear,Over Utilized
2022-01-06,Hebbal,Hebbal Flyover,22893,46.97,1.13,78.83,100,2,95.79,70.91,60.85,93.74,101,Fog,No,Thursday,High,0,487.39621034703003,159.66,Foggy,Over Utilized
2022-01-06,Hebbal,Ballari Road,28470,20,1.5,97.45,100,3,106.94,61.63,69.55,55.52,96,Clear,No,Thursday,High,0,1423.5,295.35,Clear,Over Utilized
2022-01-06,Yeshwanthpur,Yeshwanthpur Circle,6965,47.34,1.15,26.81,32.01,2,63.93,39.23,95.16,97.24,199,Clear,No,Thursday,High,0,147.12716518800167,55.62,Clear,Over Utilized
2022-01-06,Yeshwanthpur,Tumkur Road,32668,51.21,1.5,100,100,1,115.34,23.05,91.18,67.51,97,Rain,No,Thursday,High,0,637.9222808045304,101,Rainy,Over Utilized
2022-01-07,Indiranagar,100 Feet Road,24405,29.84,1.24,82.95,100,2,98.81,72.21,98.23,93.11,110,Clear,Yes,Friday,High,0,817.8619302949062,167.9,Clear,Over Utilized
2022-01-07,Indiranagar,CMH Road,25768,25.49,1.5,85.81,100,2,101.54,69.58,79.81,74.03,103,Clear,No,Friday,High,0,1010.9062377402904,173.62,Clear,Over Utilized
2022-01-07,Whitefield,ITPL Main Road,34362,46.09,1.5,100,100,5,118.72,21.1,95.23,93.59,87,Fog,No,Friday,High,0,745.541332176177,505,Foggy,Over Utilized
2022-01-07,Electronic City,Silk Board Junction,12382,45.46,1.25,36.47,63.25,0,74.76,64.59,64.28,88.05,202,Clear,No,Friday,High,0,272.37131544214697,0,Clear,Over Utilized
2022-01-07,M.G. Road,Anil Kumble Circle,50214,36.94,1.5,100,100,0,150.43,50.75,73.84,81.05,108,Fog,Yes,Friday,High,0,1359.3394694098538,0,Foggy,Over Utilized
2022-01-07,Jayanagar,Jayanagar 4th Block,21131,44.34,1.27,69.35,100,1,92.26,41.6,66.54,89.74,106,Clear,No,Friday,High,0,476.5674334686513,70.35,Clear,Over Utilized
2022-01-07,Hebbal,Hebbal Flyover,39110,23.53,1.5,100,100,2,128.22,78.88,76.37,94.7,91,Clear,No,Friday,High,0,1662.1334466638334,202,Clear,Over Utilized
2022-01-07,Hebbal,Ballari Road,42022,34.71,1.5,100,100,5,134.04,12.28,96.83,80.83,109,Clear,No,Friday,High,0,1210.6597522327859,505,Clear,Over Utilized
2022-01-08,Indiranagar,100 Feet Road,36384,28.19,1.5,100,100,2,122.77,15.07,75.7,74,103,Rain,No,Saturday,High,0,1290.6704505143668,202,Rainy,Over Utilized
2022-01-08,Indiranagar,CMH Road,11033,44.52,1.1,46.51,51.59,0,72.07,53.27,88.1,77.98,201,Clear,Yes,Saturday,High,0,247.8212039532794,0,Clear,Over Utilized
2022-01-08,Whitefield,Marathahalli Bridge,16390,34.37,1.28,60.65,78.95,0,82.78,17.32,85.46,85.32,78,Fog,No,Saturday,High,0,476.8693628164097,0,Foggy,Over Utilized
2022-01-08,Koramangala,Sarjapur Road,65269,36.98,1.5,100,100,2,180.54,14.22,69.88,57.98,113,Windy,No,Saturday,High,0,1764.9810708491077,202,Other,Over Utilized
2022-01-08,Electronic City,Hosur Road,17926,66.42,1.22,64.14,86.91,3,85.85,57.62,62.89,51.53,92,Overcast,No,Saturday,High,0,269.8885877747666,195.42000000000002,Other,Over Utilized
2022-01-08,M.G. Road,Trinity Circle,22876,65.02,1.29,75.99,100,2,95.75,51.46,96.49,60.53,104,Fog,No,Saturday,High,0,351.83020609043376,153.98,Foggy,Over Utilized
2022-01-08,M.G. Road,Anil Kumble Circle,49798,28.28,1.5,100,100,2,149.6,70.95,77.81,75.74,96,Clear,No,Saturday,High,0,1760.8910891089108,202,Clear,Over Utilized
2022-01-08,Jayanagar,South End Circle,30323,27.92,1.5,93.69,100,1,110.65,15.14,66.79,75.99,95,Clear,No,Saturday,High,0,1086.0673352435529,94.69,Clear,Over Utilized
2022-01-08,Yeshwanthpur,Yeshwanthpur Circle,13356,65.77,1.34,50.63,67.63,1,76.71,17.83,70.79,52.85,201,Clear,No,Saturday,High,0,203.07130910749584,51.63,Clear,Over Utilized
2022-01-09,Indiranagar,CMH Road,38748,38.46,1.5,100,100,2,127.5,12.1,72.32,85.23,90,Windy,Yes,Sunday,High,0,1007.4882995319813,202,Other,Over Utilized
2022-01-09,Whitefield,ITPL Main Road,34188,25.83,1.5,100,100,4,118.38,12.13,97.24,84.48,105,Rain,No,Sunday,High,0,1323.5772357723579,404,Rainy,Over Utilized
2022-01-09,Koramangala,Sony World Junction,32010,32.48,1.5,100,100,3,114.02,56.73,92.31,88.11,109,Overcast,No,Sunday,High,0,985.5295566502464,303,Other,Over Utilized
2022-01-09,Koramangala,Sarjapur Road,13903,30.6,1.16,50.25,68.4,0,77.81,26.63,74.93,61.36,174,Rain,No,Sunday,High,0,454.34640522875816,0,Rainy,Over Utilized
2022-01-09,M.G. Road,Anil Kumble Circle,34831,20,1.5,100,100,5,119.66,23.7,60.3,82.37,115,Overcast,Yes,Sunday,High,0,1741.55,505,Other,Over Utilized
2022-01-09,Jayanagar,South End Circle,14614,44.02,1.11,44.86,76.1,0,79.23,31.79,84.41,85.81,190,Clear,No,Sunday,High,0,331.98546115402087,0,Clear,Over Utilized
2022-01-09,Hebbal,Ballari Road,28195,38.2,1.5,95.33,100,4,106.39,54.32,98.06,80.08,110,Clear,No,Sunday,High,0,738.089005235602,385.32,Clear,Over Utilized
2022-01-10,Indiranagar,100 Feet Road,43024,28.07,1.5,100,100,3,136.05,53.67,78.07,79.33,89,Overcast,No,Monday,High,0,1532.7395796223727,303,Other,Over Utilized
2022-01-10,Indiranagar,CMH Road,13224,61.23,1.22,38.72,65.03,0,76.45,44.77,99.51,56.82,208,Clear,No,Monday,High,0,215.97256246937778,0,Clear,Over Utilized
2022-01-10,Koramangala,Sony World Junction,31137,51.28,1.5,99.27,100,0,112.27,72.59,67.67,66.17,91,Clear,No,Monday,High,0,607.1957878315133,0,Clear,Over Utilized
2022-01-10,Koramangala,Sarjapur Road,60935,20,1.5,100,100,2,171.87,56.86,99.77,83.09,102,Clear,Yes,Monday,High,0,3046.75,202,Clear,Over Utilized
2022-01-10,M.G. Road,Trinity Circle,39508,20.86,1.5,100,100,4,129.02,26.42,75.97,57.62,101,Clear,No,Monday,High,0,1893.9597315436242,404,Clear,Over Utilized
2022-01-10,M.G. Road,Anil Kumble Circle,39400,33.48,1.5,100,100,0,128.8,31.22,70.52,68.01,84,Clear,No,Monday,High,0,1176.8219832735963,0,Clear,Over Utilized
2022-01-10,Jayanagar,Jayanagar 4th Block,28165,59.93,1.5,100,100,4,106.33,67.22,75.22,93.9,113,Fog,No,Monday,High,0,469.96495911897216,404,Foggy,Over Utilized
2022-01-10,Jayanagar,South End Circle,28609,26.02,1.5,92.29,100,2,107.22,70.34,96.91,74.35,103,Clear,No,Monday,High,0,1099.500384319754,186.58,Clear,Over Utilized
2022-01-10,Hebbal,Hebbal Flyover,18780,43.13,1.01,55.3,98.53,0,87.56,77.61,77.3,65.59,100,Clear,No,Monday,High,0,435.42777648968234,0,Clear,Over Utilized
2022-01-10,Hebbal,Ballari Road,27100,39.17,1.5,81.56,100,1,104.2,79.64,62.31,84.75,88,Clear,No,Monday,High,0,691.8560122542762,82.56,Clear,Over Utilized
2022-01-10,Yeshwanthpur,Tumkur Road,16397,54.12,1.25,55.2,81.25,0,82.79,72.06,77.99,59.73,96,Overcast,No,Monday,High,0,302.9748706577975,0,Other,Over Utilized
2022-01-11,Indiranagar,100 Feet Road,11423,20,1.01,33.27,59.72,0,72.85,47.47,68.61,50.61,199,Clear,No,Tuesday,High,0,571.15,0,Clear,Over Utilized
2022-01-11,Indiranagar,CMH Road,10806,44.6,1.13,40.77,53.79,0,71.61,37.61,78.38,89.25,213,Rain,No,Tuesday,High,0,242.28699551569505,0,Rainy,Over Utilized
2022-01-11,Whitefield,Marathahalli Bridge,40629,28.94,1.5,100,100,2,131.26,46.29,66.01,86.87,100,Clear,Yes,Tuesday,High,0,1403.904630269523,202,Clear,Over Utilized
2022-01-11,Koramangala,Sony World Junction,14197,57.99,1.12,44.32,73.73,1,78.39,22.19,63.94,83.02,212,Clear,Yes,Tuesday,High,0,244.81807208139332,45.32,Clear,Over Utilized
2022-01-11,Electronic City,Hosur Road,13734,60.01,1.08,38.21,69.82,1,77.47,47.12,61.68,98.42,213,Windy,No,Tuesday,High,0,228.8618563572738,39.21,Other,Over Utilized
2022-01-11,M.G. Road,Trinity Circle,48585,38.59,1.5,100,100,1,147.17,40.25,77.58,80.65,121,Clear,No,Tuesday,High,0,1259.0049235553251,101,Clear,Over Utilized
2022-01-11,Jayanagar,South End Circle,35331,37.83,1.5,100,100,4,120.66,48.15,99.39,96.87,75,Clear,No,Tuesday,High,0,933.9413164155433,404,Clear,Over Utilized
2022-01-11,Hebbal,Ballari Road,31483,42.24,1.5,100,100,2,112.97,58.22,94.93,81.81,108,Clear,Yes,Tuesday,High,0,745.3361742424242,202,Clear,Over Utilized
2022-01-11,Yeshwanthpur,Yeshwanthpur Circle,24863,40.77,1.08,83.98,100,1,99.73,34.88,91.35,77.71,96,Clear,No,Tuesday,High,0,609.8356634780475,84.98,Clear,Over Utilized
2022-01-12,Indiranagar,CMH Road,37767,38.39,1.5,100,100,2,125.53,53.37,74.22,89.71,84,Clear,No,Wednesday,High,0,983.7718155769732,202,Clear,Over Utilized
2022-01-12,Whitefield,Marathahalli Bridge,29583,53.87,1.5,100,100,3,109.17,15.39,62.34,66.71,109,Fog,No,Wednesday,High,0,549.1553740486356,303,Foggy,Over Utilized
2022-01-12,Whitefield,ITPL Main Road,14566,26.33,1.04,42.97,73.81,3,79.13,39.49,85.45,89.28,180,Overcast,No,Wednesday,High,0,553.2092669958223,131.91,Other,Over Utilized
2022-01-12,Koramangala,Sony World Junction,43533,23.8,1.5,100,100,0,137.07,68.22,70.92,75.9,94,Clear,No,Wednesday,High,0,1829.1176470588234,0,Clear,Over Utilized
2022-01-12,Electronic City,Silk Board Junction,19320,20,1.05,56.01,98.88,0,88.64,40.58,89.18,88.28,88,Clear,No,Wednesday,High,0,966,0,Clear,Over Utilized
2022-01-12,M.G. Road,Trinity Circle,48094,26.08,1.5,100,100,1,146.19,63.16,77.99,88.84,81,Clear,Yes,Wednesday,High,0,1844.09509202454,101,Clear,Over Utilized
2022-01-12,Jayanagar,Jayanagar 4th Block,21711,34.73,1.36,62.81,100,1,93.42,75.58,62.09,70.94,93,Windy,No,Wednesday,High,0,625.1367693636626,63.81,Other,Over Utilized
2022-01-12,Hebbal,Hebbal Flyover,31399,34.64,1.5,100,100,0,112.8,20.59,69.01,62.55,112,Clear,No,Wednesday,High,0,906.4376443418014,0,Clear,Over Utilized
2022-01-12,Yeshwanthpur,Tumkur Road,18517,45.86,1.18,61.42,89.24,2,87.03,42.36,76.47,82.55,101,Clear,No,Wednesday,High,0,403.77235063235935,124.84,Clear,Over Utilized
2022-01-13,Indiranagar,100 Feet Road,11371,51.02,1.1,31.2,55.16,1,72.74,24.34,95.11,93.98,218,Clear,No,Thursday,High,0,222.87338298706388,32.2,Clear,Over Utilized
2022-01-13,Indiranagar,CMH Road,11938,37.64,1.36,40.57,59.67,0,73.88,55.97,92.88,69.02,187,Clear,No,Thursday,High,0,317.1625929861849,0,Clear,Over Utilized
2022-01-13,Koramangala,Sarjapur Road,55123,36.18,1.5,100,100,3,160.25,78.85,65.63,60.1,90,Rain,No,Thursday,High,0,1523.5765616362632,303,Rainy,Over Utilized
2022-01-13,M.G. Road,Trinity Circle,52096,49.12,1.5,100,100,3,154.19,71.73,77.1,58.11,101,Overcast,Yes,Thursday,High,0,1060.586319218241,303,Other,Over Utilized
2022-01-13,M.G. Road,Anil Kumble Circle,26541,38.04,1.5,89.29,100,2,103.08,42.15,74.31,74.71,111,Clear,No,Thursday,High,0,697.7129337539433,180.58,Clear,Over Utilized
2022-01-13,Jayanagar,South End Circle,17216,35.78,1.18,62.36,87.59,1,84.43,68.9,78.85,98.96,104,Rain,No,Thursday,High,0,481.1626607043041,63.36,Rainy,Over Utilized
2022-01-13,Hebbal,Ballari Road,19195,50.24,1.33,59.57,97.4,1,88.39,31.37,68.51,51.66,94,Overcast,No,Thursday,High,0,382.0660828025478,60.57,Other,Over Utilized
2022-01-14,Indiranagar,100 Feet Road,24545,51.5,1.22,74.04,100,3,99.09,78.38,64.43,71.13,117,Overcast,No,Friday,High,0,476.6019417475728,225.12,Other,Over Utilized
2022-01-14,Koramangala,Sony World Junction,56258,45.86,1.5,100,100,1,162.52,59.26,81.63,54.83,92,Clear,No,Friday,High,0,1226.7335368512865,101,Clear,Over Utilized
2022-01-14,Koramangala,Sarjapur Road,32100,26.36,1.5,97.96,100,4,114.2,15.53,69.58,89.73,101,Overcast,No,Friday,High,0,1217.7541729893778,395.84,Other,Over Utilized
2022-01-14,Electronic City,Hosur Road,6265,51.42,1.33,28.46,32.04,0,62.53,40.13,72.68,71.73,212,Overcast,No,Friday,High,0,121.83975106962271,0,Other,Over Utilized
2022-01-14,M.G. Road,Trinity Circle,35956,42.83,1.5,100,100,2,121.91,76.54,84.03,87.18,100,Clear,No,Friday,High,0,839.5050198459024,202,Clear,Over Utilized
2022-01-14,M.G. Road,Anil Kumble Circle,38339,20,1.5,100,100,1,126.68,46.16,60.22,50.38,91,Clear,No,Friday,High,0,1916.95,101,Clear,Over Utilized
2022-01-14,Jayanagar,South End Circle,28132,33.2,1.5,91.71,100,1,106.26,34.17,80.3,93.71,100,Windy,No,Friday,High,0,847.3493975903614,92.71,Other,Over Utilized
2022-01-14,Hebbal,Hebbal Flyover,16393,29.16,1.36,58.92,83.04,0,82.79,67.67,98.2,91.06,78,Clear,No,Friday,High,0,562.1742112482854,0,Clear,Over Utilized
2022-01-14,Yeshwanthpur,Yeshwanthpur Circle,9696,37.81,1.05,30.7,50.99,0,69.39,15.61,74.19,97.09,207,Clear,No,Friday,High,0,256.4400952129066,0,Clear,Over Utilized
2022-01-14,Yeshwanthpur,Tumkur Road,21620,52.59,1.35,76.55,100,1,93.24,47.38,65.69,50.59,98,Clear,No,Friday,High,0,411.10477277048864,77.55,Clear,Over Utilized
2022-01-15,Indiranagar,100 Feet Road,20081,52.33,1.29,69.98,100,1,90.16,57.11,71.02,65.32,109,Fog,No,Saturday,High,0,383.7378176953946,70.98,Foggy,Over Utilized
2022-01-15,Indiranagar,CMH Road,40722,28.07,1.5,100,100,3,131.44,21.68,77.22,57.13,114,Clear,Yes,Saturday,High,0,1450.7303170644816,303,Clear,Over Utilized
2022-01-15,Koramangala,Sony World Junction,13316,36.94,1.27,46.5,65.23,0,76.63,79.16,78.16,84.41,182,Clear,No,Saturday,High,0,360.4764482945317,0,Clear,Over Utilized
2022-01-15,Electronic City,Silk Board Junction,4901,41.38,1.01,21.46,24.09,0,59.8,73.01,64.65,97.8,192,Rain,No,Saturday,High,0,118.43885935234412,0,Rainy,Over Utilized
2022-01-15,M.G. Road,Anil Kumble Circle,45841,20.14,1.5,100,100,1,141.68,47.92,90.48,91.68,98,Clear,No,Saturday,High,0,2276.1171797418074,101,Clear,Over Utilized
2022-01-15,Jayanagar,Jayanagar 4th Block,14041,52.48,1.23,39.59,69.65,1,78.08,38.12,99.75,94.02,205,Rain,No,Saturday,High,0,267.54954268292687,40.59,Rainy,Over Utilized
2022-01-15,Jayanagar,South End Circle,11644,29.97,1.09,48.09,62.31,1,73.29,70.9,65.23,89.53,181,Clear,No,Saturday,High,0,388.5218551885219,49.09,Clear,Over Utilized
2022-01-15,Hebbal,Ballari Road,29959,38.91,1.5,100,100,1,109.92,24.23,90.47,69.33,100,Clear,No,Saturday,High,0,769.9563094320226,101,Clear,Over Utilized
