Dates,Area Name,Road/Intersection Name,Traffic Volume,Average Speed,Travel Time Index,Congestion Level,Road Capacity Utilization,Incident Reports,Environmental Impact,Public Transport Usage,Traffic Signal Compliance,Parking Usage,Pedestrian and Cyclist Count,Weather Conditions,Roadwork and Construction Activity
2022-01-06,M.G. Road,Anil Kumble Circle,57145,45.62,1.50,100.00,100.00,1,164.29,79.14,97.76,51.97,89,Overcast,Yes
2022-01-06,Jayanagar,South End Circle,40516,34.20,1.50,100.00,100.00,1,131.03,51.74,69.20,56.03,82,Clear,No
2022-01-06,Hebbal,Hebbal Flyover,22893,46.97,1.13,78.83,100.00,2,95.79,70.91,60.85,93.74,101,Fog,No
2022-01-06,Hebbal,Ballari Road,28470,20.00,1.50,97.45,100.00,3,106.94,61.63,69.55,55.52,96,Clear,No
2022-01-06,Yeshwanthpur,Yeshwanthpur Circle,6965,47.34,1.15,26.81,32.01,2,63.93,39.23,95.16,97.24,199,Clear,No
2022-01-06,Yeshwanthpur,Tumkur Road,32668,51.21,1.50,100.00,100.00,1,115.34,23.05,91.18,67.51,97,Rain,No
2022-01-07,Indiranagar,100 Feet Road,24405,29.84,1.24,82.95,100.00,2,98.81,72.21,98.23,93.11,110,Clear,Yes
2022-01-07,Indiranagar,CMH Road,25768,25.49,1.50,85.81,100.00,2,101.54,69.58,79.81,74.03,103,Clear,No
2022-01-07,Whitefield,ITPL Main Road,34362,46.09,1.50,100.00,100.00,5,118.72,21.10,95.23,93.59,87,Fog,No
2022-01-07,Electronic City,Silk Board Junction,12382,45.46,1.25,36.47,63.25,0,74.76,64.59,64.28,88.05,202,Clear,No
2022-01-07,M.G. Road,Anil Kumble Circle,50214,36.94,1.50,100.00,100.00,0,150.43,50.75,73.84,81.05,108,Fog,Yes
2022-01-07,Jayanagar,Jayanagar 4th Block,21131,44.34,1.27,69.35,100.00,1,92.26,41.60,66.54,89.74,106,Clear,No
2022-01-07,Hebbal,Hebbal Flyover,39110,23.53,1.50,100.00,100.00,2,128.22,78.88,76.37,94.70,91,Clear,No
2022-01-07,Hebbal,Ballari Road,42022,34.71,1.50,100.00,100.00,5,134.04,12.28,96.83,80.83,109,Clear,No
2022-01-08,Indiranagar,100 Feet Road,36384,28.19,1.50,100.00,100.00,2,122.77,15.07,75.70,74.00,103,Rain,No
2022-01-08,Indiranagar,CMH Road,11033,44.52,1.10,46.51,51.59,0,72.07,53.27,88.10,77.98,201,Clear,Yes
2022-01-08,Whitefield,Marathahalli Bridge,16390,34.37,1.28,60.65,78.95,0,82.78,17.32,85.46,85.32,78,Fog,No
2022-01-08,Koramangala,Sarjapur Road,65269,36.98,1.50,100.00,100.00,2,180.54,14.22,69.88,57.98,113,Windy,No
2022-01-08,Electronic City,Hosur Road,17926,66.42,1.22,64.14,86.91,3,85.85,57.62,62.89,51.53,92,Overcast,No
2022-01-08,M.G. Road,Trinity Circle,22876,65.02,1.29,75.99,100.00,2,95.75,51.46,96.49,60.53,104,Fog,No
2022-01-08,M.G. Road,Anil Kumble Circle,49798,28.28,1.50,100.00,100.00,2,149.60,70.95,77.81,75.74,96,Clear,No
2022-01-08,Jayanagar,South End Circle,30323,27.92,1.50,93.69,100.00,1,110.65,15.14,66.79,75.99,95,Clear,No
2022-01-08,Yeshwanthpur,Yeshwanthpur Circle,13356,65.77,1.34,50.63,67.63,1,76.71,17.83,70.79,52.85,201,Clear,No
2022-01-09,Indiranagar,CMH Road,38748,38.46,1.50,100.00,100.00,2,127.50,12.10,72.32,85.23,90,Windy,Yes
2022-01-09,Whitefield,ITPL Main Road,34188,25.83,1.50,100.00,100.00,4,118.38,12.13,97.24,84.48,105,Rain,No
2022-01-09,Koramangala,Sony World Junction,32010,32.48,1.50,100.00,100.00,3,114.02,56.73,92.31,88.11,109,Overcast,No
2022-01-09,Koramangala,Sarjapur Road,13903,30.60,1.16,50.25,68.40,0,77.81,26.63,74.93,61.36,174,Rain,No
2022-01-09,M.G. Road,Anil Kumble Circle,34831,20.00,1.50,100.00,100.00,5,119.66,23.70,60.30,82.37,115,Overcast,Yes
2022-01-09,Jayanagar,South End Circle,14614,44.02,1.11,44.86,76.10,0,79.23,31.79,84.41,85.81,190,Clear,No
2022-01-09,Hebbal,Ballari Road,28195,38.20,1.50,95.33,100.00,4,106.39,54.32,98.06,80.08,110,Clear,No
2022-01-10,Indiranagar,100 Feet Road,43024,28.07,1.50,100.00,100.00,3,136.05,53.67,78.07,79.33,89,Overcast,No
2022-01-10,Indiranagar,CMH Road,13224,61.23,1.22,38.72,65.03,0,76.45,44.77,99.51,56.82,208,Clear,No
2022-01-10,Koramangala,Sony World Junction,31137,51.28,1.50,99.27,100.00,0,112.27,72.59,67.67,66.17,91,Clear,No
2022-01-10,Koramangala,Sarjapur Road,60935,20.00,1.50,100.00,100.00,2,171.87,56.86,99.77,83.09,102,Clear,Yes
2022-01-10,M.G. Road,Trinity Circle,39508,20.86,1.50,100.00,100.00,4,129.02,26.42,75.97,57.62,101,Clear,No
2022-01-10,M.G. Road,Anil Kumble Circle,39400,33.48,1.50,100.00,100.00,0,128.80,31.22,70.52,68.01,84,Clear,No
2022-01-10,Jayanagar,Jayanagar 4th Block,28165,59.93,1.50,100.00,100.00,4,106.33,67.22,75.22,93.90,113,Fog,No
2022-01-10,Jayanagar,South End Circle,28609,26.02,1.50,92.29,100.00,2,107.22,70.34,96.91,74.35,103,Clear,No
2022-01-10,Hebbal,Hebbal Flyover,18780,43.13,1.01,55.30,98.53,0,87.56,77.61,77.30,65.59,100,Clear,No
2022-01-10,Hebbal,Ballari Road,27100,39.17,1.50,81.56,100.00,1,104.20,79.64,62.31,84.75,88,Clear,No
2022-01-10,Yeshwanthpur,Tumkur Road,16397,54.12,1.25,55.20,81.25,0,82.79,72.06,77.99,59.73,96,Overcast,No
2022-01-11,Indiranagar,100 Feet Road,11423,20.00,1.01,33.27,59.72,0,72.85,47.47,68.61,50.61,199,Clear,No
2022-01-11,Indiranagar,CMH Road,10806,44.60,1.13,40.77,53.79,0,71.61,37.61,78.38,89.25,213,Rain,No
2022-01-11,Whitefield,Marathahalli Bridge,40629,28.94,1.50,100.00,100.00,2,131.26,46.29,66.01,86.87,100,Clear,Yes
2022-01-11,Koramangala,Sony World Junction,14197,57.99,1.12,44.32,73.73,1,78.39,22.19,63.94,83.02,212,Clear,Yes
2022-01-11,Electronic City,Hosur Road,13734,60.01,1.08,38.21,69.82,1,77.47,47.12,61.68,98.42,213,Windy,No
2022-01-11,M.G. Road,Trinity Circle,48585,38.59,1.50,100.00,100.00,1,147.17,40.25,77.58,80.65,121,Clear,No
2022-01-11,Jayanagar,South End Circle,35331,37.83,1.50,100.00,100.00,4,120.66,48.15,99.39,96.87,75,Clear,No
2022-01-11,Hebbal,Ballari Road,31483,42.24,1.50,100.00,100.00,2,112.97,58.22,94.93,81.81,108,Clear,Yes
2022-01-11,Yeshwanthpur,Yeshwanthpur Circle,24863,40.77,1.08,83.98,100.00,1,99.73,34.88,91.35,77.71,96,Clear,No
2022-01-12,Indiranagar,CMH Road,37767,38.39,1.50,100.00,100.00,2,125.53,53.37,74.22,89.71,84,Clear,No
2022-01-12,Whitefield,Marathahalli Bridge,29583,53.87,1.50,100.00,100.00,3,109.17,15.39,62.34,66.71,109,Fog,No
2022-01-12,Whitefield,ITPL Main Road,14566,26.33,1.04,42.97,73.81,3,79.13,39.49,85.45,89.28,180,Overcast,No
2022-01-12,Koramangala,Sony World Junction,43533,23.80,1.50,100.00,100.00,0,137.07,68.22,70.92,75.90,94,Clear,No
2022-01-12,Electronic City,Silk Board Junction,19320,20.00,1.05,56.01,98.88,0,88.64,40.58,89.18,88.28,88,Clear,No
2022-01-12,M.G. Road,Trinity Circle,48094,26.08,1.50,100.00,100.00,1,146.19,63.16,77.99,88.84,81,Clear,Yes
2022-01-12,Jayanagar,Jayanagar 4th Block,21711,34.73,1.36,62.81,100.00,1,93.42,75.58,62.09,70.94,93,Windy,No
2022-01-12,Hebbal,Hebbal Flyover,31399,34.64,1.50,100.00,100.00,0,112.80,20.59,69.01,62.55,112,Clear,No
2022-01-12,Yeshwanthpur,Tumkur Road,18517,45.86,1.18,61.42,89.24,2,87.03,42.36,76.47,82.55,101,Clear,No
2022-01-13,Indiranagar,100 Feet Road,11371,51.02,1.10,31.20,55.16,1,72.74,24.34,95.11,93.98,218,Clear,No
2022-01-13,Indiranagar,CMH Road,11938,37.64,1.36,40.57,59.67,0,73.88,55.97,92.88,69.02,187,Clear,No
2022-01-13,Koramangala,Sarjapur Road,55123,36.18,1.50,100.00,100.00,3,160.25,78.85,65.63,60.10,90,Rain,No
2022-01-13,M.G. Road,Trinity Circle,52096,49.12,1.50,100.00,100.00,3,154.19,71.73,77.10,58.11,101,Overcast,Yes
2022-01-13,M.G. Road,Anil Kumble Circle,26541,38.04,1.50,89.29,100.00,2,103.08,42.15,74.31,74.71,111,Clear,No
2022-01-13,Jayanagar,South End Circle,17216,35.78,1.18,62.36,87.59,1,84.43,68.90,78.85,98.96,104,Rain,No
2022-01-13,Hebbal,Ballari Road,19195,50.24,1.33,59.57,97.40,1,88.39,31.37,68.51,51.66,94,Overcast,No
2022-01-14,Indiranagar,100 Feet Road,24545,51.50,1.22,74.04,100.00,3,99.09,78.38,64.43,71.13,117,Overcast,No
2022-01-14,Koramangala,Sony World Junction,56258,45.86,1.50,100.00,100.00,1,162.52,59.26,81.63,54.83,92,Clear,No
2022-01-14,Koramangala,Sarjapur Road,32100,26.36,1.50,97.96,100.00,4,114.20,15.53,69.58,89.73,101,Overcast,No
2022-01-14,Electronic City,Hosur Road,6265,51.42,1.33,28.46,32.04,0,62.53,40.13,72.68,71.73,212,Overcast,No
2022-01-14,M.G. Road,Trinity Circle,35956,42.83,1.50,100.00,100.00,2,121.91,76.54,84.03,87.18,100,Clear,No
2022-01-14,M.G. Road,Anil Kumble Circle,38339,20.00,1.50,100.00,100.00,1,126.68,46.16,60.22,50.38,91,Clear,No
2022-01-14,Jayanagar,South End Circle,28132,33.20,1.50,91.71,100.00,1,106.26,34.17,80.30,93.71,100,Windy,No
2022-01-14,Hebbal,Hebbal Flyover,16393,29.16,1.36,58.92,83.04,0,82.79,67.67,98.20,91.06,78,Clear,No
2022-01-14,Yeshwanthpur,Yeshwanthpur Circle,9696,37.81,1.05,30.70,50.99,0,69.39,15.61,74.19,97.09,207,Clear,No
2022-01-14,Yeshwanthpur,Tumkur Road,21620,52.59,1.35,76.55,100.00,1,93.24,47.38,65.69,50.59,98,Clear,No
2022-01-15,Indiranagar,100 Feet Road,20081,52.33,1.29,69.98,100.00,1,90.16,57.11,71.02,65.32,109,Fog,No
2022-01-15,Indiranagar,CMH Road,40722,28.07,1.50,100.00,100.00,3,131.44,21.68,77.22,57.13,114,Clear,Yes
2022-01-15,Koramangala,Sony World Junction,13316,36.94,1.27,46.50,65.23,0,76.63,79.16,78.16,84.41,182,Clear,No
2022-01-15,Electronic City,Silk Board Junction,4901,41.38,1.01,21.46,24.09,0,59.80,73.01,64.65,97.80,192,Rain,No
2022-01-15,M.G. Road,Anil Kumble Circle,45841,20.14,1.50,100.00,100.00,1,141.68,47.92,90.48,91.68,98,Clear,No
2022-01-15,Jayanagar,Jayanagar 4th Block,14041,52.48,1.23,39.59,69.65,1,78.08,38.12,99.75,94.02,205,Rain,No
2022-01-15,Jayanagar,South End Circle,11644,29.97,1.09,48.09,62.31,1,73.29,70.90,65.23,89.53,181,Clear,No
2022-01-15,Hebbal,Ballari Road,29959,38.91,1.50,100.00,100.00,1,109.92,24.23,90.47,69.33,100,Clear,No
2022-01-16,Indiranagar,100 Feet Road,37666,35.90,1.50,100.00,100.00,4,125.33,71.84,77.93,75.52,104,Clear,No
2022-01-16,Indiranagar,CMH Road,33681,39.07,1.50,100.00,100.00,2,117.36,77.02,60.35,99.89,105,Clear,Yes
2022-01-16,Koramangala,Sarjapur Road,47091,46.82,1.50,100.00,100.00,1,144.18,44.13,63.11,70.38,97,Clear,No
2022-01-16,M.G. Road,Trinity Circle,44425,37.13,1.50,100.00,100.00,2,138.85,15.10,76.11,64.76,92,Overcast,No
2022-01-16,M.G. Road,Anil Kumble Circle,50941,20.00,1.50,100.00,100.00,4,151.88,72.21,80.12,72.47,102,Clear,No
2022-01-16,Jayanagar,Jayanagar 4th Block,28429,40.05,1.50,95.81,100.00,1,106.86,29.00,79.87,64.21,87,Clear,No
2022-01-16,Jayanagar,South End Circle,8373,45.15,1.11,32.05,37.49,1,66.75,27.28,89.64,65.81,179,Clear,No
2022-01-16,Hebbal,Hebbal Flyover,29521,44.45,1.50,100.00,100.00,1,109.04,58.09,79.75,69.38,104,Clear,No
2022-01-17,Indiranagar,100 Feet Road,43778,45.58,1.50,100.00,100.00,1,137.56,35.20,98.27,75.02,98,Clear,No
2022-01-17,Indiranagar,CMH Road,11546,59.52,1.33,45.49,54.85,1,73.09,71.61,68.63,83.89,204,Clear,No
2022-01-17,Whitefield,ITPL Main Road,28643,27.39,1.50,89.46,100.00,1,107.29,14.07,64.46,75.79,93,Clear,No
2022-01-17,Koramangala,Sony World Junction,14771,35.06,1.20,47.32,74.16,0,79.54,10.69,78.56,98.17,201,Clear,No
2022-01-17,M.G. Road,Trinity Circle,13672,50.92,1.05,40.88,63.54,0,77.34,64.12,80.72,67.40,195,Clear,No
2022-01-17,Jayanagar,South End Circle,38680,41.77,1.50,100.00,100.00,1,127.36,25.98,69.86,74.20,108,Clear,No
2022-01-18,Indiranagar,CMH Road,22675,39.02,1.06,78.03,100.00,1,95.35,66.78,85.44,69.41,105,Clear,No
2022-01-18,Whitefield,Marathahalli Bridge,24990,51.20,1.02,76.25,100.00,2,99.98,77.06,81.19,62.09,100,Clear,No
2022-01-18,Koramangala,Sony World Junction,43308,34.17,1.50,100.00,100.00,1,136.62,69.06,99.25,89.66,112,Windy,No
2022-01-18,M.G. Road,Anil Kumble Circle,30048,21.37,1.50,91.62,100.00,3,110.10,76.06,98.41,76.07,89,Fog,No
2022-01-18,Hebbal,Hebbal Flyover,29980,50.62,1.50,90.18,100.00,2,109.96,54.41,68.88,66.08,112,Clear,No
2022-01-18,Hebbal,Ballari Road,27611,38.39,1.50,87.81,100.00,2,105.22,63.27,74.87,69.62,123,Clear,No
2022-01-18,Yeshwanthpur,Yeshwanthpur Circle,25136,22.55,1.50,78.59,100.00,1,100.27,45.42,68.83,51.95,72,Overcast,No
2022-01-19,Indiranagar,100 Feet Road,37647,61.34,1.50,100.00,100.00,4,125.29,64.63,79.05,74.88,90,Clear,No
2022-01-19,Indiranagar,CMH Road,24022,52.10,1.16,86.29,100.00,3,98.04,20.61,95.04,76.95,93,Clear,No
2022-01-19,Whitefield,ITPL Main Road,21972,45.34,1.39,67.76,100.00,0,93.94,26.13,60.06,86.47,129,Rain,No
2022-01-19,Koramangala,Sarjapur Road,32388,25.19,1.50,100.00,100.00,5,114.78,51.34,86.44,53.92,101,Clear,No
2022-01-19,M.G. Road,Trinity Circle,22823,52.93,1.29,81.26,100.00,2,95.65,75.30,93.10,84.86,106,Overcast,No
2022-01-19,M.G. Road,Anil Kumble Circle,55355,28.83,1.50,100.00,100.00,5,160.71,76.30,79.85,69.03,89,Fog,No
2022-01-19,Jayanagar,Jayanagar 4th Block,35758,39.55,1.50,100.00,100.00,3,121.52,45.34,88.74,93.13,89,Clear,No
2022-01-19,Jayanagar,South End Circle,34084,26.37,1.50,100.00,100.00,2,118.17,53.74,82.87,91.64,116,Rain,Yes
2022-01-19,Hebbal,Ballari Road,22499,29.85,1.13,79.65,100.00,0,95.00,64.86,71.43,71.64,105,Clear,No
2022-01-20,Indiranagar,100 Feet Road,34920,21.74,1.50,100.00,100.00,1,119.84,40.24,99.21,53.38,100,Windy,No
2022-01-20,Indiranagar,CMH Road,34071,52.02,1.50,100.00,100.00,1,118.14,43.81,70.74,64.37,103,Clear,No
2022-01-20,Whitefield,Marathahalli Bridge,9673,58.40,1.26,27.59,43.52,1,69.35,57.32,88.27,80.50,192,Clear,No
2022-01-20,Koramangala,Sony World Junction,29570,37.77,1.50,100.00,100.00,2,109.14,50.80,70.12,72.51,125,Overcast,No
2022-01-20,Koramangala,Sarjapur Road,56542,33.59,1.50,100.00,100.00,1,163.08,40.41,88.94,50.45,103,Rain,No
2022-01-20,Electronic City,Silk Board Junction,12718,50.68,1.01,37.36,60.73,0,75.44,27.33,62.50,72.95,210,Rain,Yes
2022-01-20,Yeshwanthpur,Yeshwanthpur Circle,23607,53.87,1.21,70.06,100.00,3,97.21,35.79,95.81,83.32,109,Rain,No
2022-01-21,Indiranagar,100 Feet Road,37614,36.84,1.50,100.00,100.00,1,125.23,11.53,72.04,75.13,79,Overcast,No
2022-01-21,Indiranagar,CMH Road,32230,43.13,1.50,100.00,100.00,0,114.46,23.00,86.57,94.08,110,Clear,No
2022-01-21,Whitefield,Marathahalli Bridge,21898,57.45,1.14,70.07,100.00,4,93.80,34.81,80.23,97.06,113,Clear,No
2022-01-21,Koramangala,Sony World Junction,63687,39.83,1.50,100.00,100.00,2,177.37,57.16,67.17,84.70,91,Clear,Yes
2022-01-21,M.G. Road,Trinity Circle,12718,49.25,1.14,34.50,60.81,0,75.44,52.54,69.81,52.89,195,Clear,No
2022-01-21,M.G. Road,Anil Kumble Circle,34242,20.00,1.50,100.00,100.00,1,118.48,45.01,76.48,93.53,104,Clear,No
2022-01-21,Jayanagar,Jayanagar 4th Block,18866,36.94,1.08,60.72,98.29,0,87.73,45.55,76.77,50.91,109,Clear,No
2022-01-21,Hebbal,Ballari Road,10280,62.59,1.33,40.69,54.83,0,70.56,33.35,91.66,72.56,185,Overcast,No
2022-01-21,Yeshwanthpur,Yeshwanthpur Circle,13448,54.41,1.22,54.19,62.91,1,76.90,36.28,92.15,71.67,192,Clear,No
2022-01-21,Yeshwanthpur,Tumkur Road,17523,42.17,1.26,62.59,82.70,0,85.05,56.32,79.36,50.27,110,Clear,Yes
2022-01-22,Indiranagar,100 Feet Road,38113,42.89,1.50,100.00,100.00,1,126.23,53.43,89.69,58.49,90,Fog,No
2022-01-22,Indiranagar,CMH Road,38352,38.11,1.50,100.00,100.00,1,126.70,60.15,70.84,60.11,94,Clear,No
2022-01-22,Koramangala,Sony World Junction,14092,60.19,1.33,50.16,73.42,0,78.18,58.47,70.56,96.95,206,Clear,No
2022-01-22,Koramangala,Sarjapur Road,26948,41.18,1.50,93.07,100.00,2,103.90,16.19,87.96,68.42,98,Clear,Yes
2022-01-22,Electronic City,Silk Board Junction,18286,42.37,1.13,68.91,95.31,0,86.57,73.07,99.85,91.27,112,Clear,Yes
2022-01-22,M.G. Road,Trinity Circle,56645,26.89,1.50,100.00,100.00,2,163.29,38.78,65.20,51.12,96,Clear,No
2022-01-22,M.G. Road,Anil Kumble Circle,28669,41.30,1.50,86.34,100.00,4,107.34,50.67,99.63,87.84,98,Clear,No
2022-01-22,Jayanagar,Jayanagar 4th Block,35174,40.60,1.50,100.00,100.00,6,120.35,41.83,86.99,83.88,96,Clear,No
2022-01-22,Yeshwanthpur,Yeshwanthpur Circle,16461,61.85,1.07,58.97,81.86,1,82.92,21.88,60.77,88.96,103,Overcast,No
2022-01-23,Indiranagar,100 Feet Road,32690,31.87,1.50,100.00,100.00,3,115.38,13.64,61.27,71.17,83,Overcast,No
2022-01-23,Indiranagar,CMH Road,25259,26.96,1.50,79.93,100.00,1,100.52,72.82,84.91,98.67,99,Clear,No
2022-01-23,Whitefield,Marathahalli Bridge,33372,38.08,1.50,100.00,100.00,1,116.74,24.76,69.17,73.46,93,Clear,No
2022-01-23,Electronic City,Silk Board Junction,14390,34.58,1.09,40.56,69.51,0,78.78,57.18,62.50,60.53,214,Clear,No
